jdn_id,jdn_jtp_id,jdn_symbol,jdn_nazwa,jdn_aktywny,jdn_urz_id_wpro,jdn_data_wpro,jdn_urz_id_mod,jdn_data_mod,jdn_jdn_id,jdn_ulica,jdn_nr_bud,jdn_kod_pocztowy,jdn_regon,jdn_nazwa_pelna,jdn_jro_id,jdn_nip,jdn_nip_vat,jdn_nr_sap,jdn_nr_jpk
166,2,13DP/UM,"Dom Pomocy Społecznej ""Na Bachusa""",1,209,2013-01-30 13:00,209,2013-03-07 13:19,-99,ul. Bachusa,7,04-814,146288798,"Dom Pomocy Społecznej ""Na Bachusa""",1,NULL,NULL,3300000074,1889
167,3,NULL,BIURO POLITYKI LOKALOWEJ,1,1,2014-02-05 09:19,NULL,NULL,0,NULL,NULL,NULL,NULL,BIURO POLITYKI LOKALOWEJ,NULL,NULL,NULL,NULL,NULL
168,2,CPS/ŚRO,Centrum Pomocy Społecznej Dzielnicy Śródmieście im. prof. Andrzeja Tymowskiego,1,1,2014-02-19 11:09,209,2014-03-17 14:58,9,ul.Konwiktorska,03-V,00-217,146349028,Centrum Pomocy Społecznej Dzielnicy Śródmieście im. prof. Andrzeja Tymowskiego,1,NULL,NULL,NULL,1432
169,2,ŚDS/ŻOL,Środowiskowy Dom Samopomocy w Warszawie przy ul. Rydygiera 3,1,1,2014-02-19 11:20,209,2014-03-17 14:57,18,ul.Rydygiera,3,01-793,146412755,Środowiskowy Dom Samopomocy w Warszawie przy ul. Rydygiera 3,1,NULL,NULL,NULL,1800
170,2,ŚDS/TAR,Środowiskowy Dom Samopomocy ''Na Targówku'',1,1,2014-02-19 11:24,209,2014-03-03 09:48,10,ul.Św. Wincentego,85,03-291,146412985,Środowiskowy Dom Samopomocy ''Na Targówku'',1,NULL,NULL,NULL,1522
171,2,ŚDS/OCH,Środowiskowy Dom Samopomocy ''POD SKRZYDŁAMI'',1,1,2014-02-19 11:25,209,2014-03-28 13:53,5,ul.Grójecka,109,02-120,146413022,Środowiskowy Dom Samopomocy ''POD SKRZYDŁAMI'',1,NULL,NULL,NULL,1248
172,2,,Bielański Środowiskowy Dom Samopomocy,1,1,2014-02-25 12:38,209,2014-03-17 14:55,3,ul. Grębałowska,14,01-808,146415452,Bielański Środowiskowy Dom Samopomocy,1,NULL,NULL,NULL,1075
173,2,PPP/BEM,Poradnia Psychologiczno - Pedagogiczna Nr 20,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Poradnia Psychologiczno - Pedagogiczna,NULL,NULL,NULL,NULL,1007
174,2,GI81/BEM,Gimnazjum Nr 81,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Gimnazjum Nr 81,NULL,NULL,NULL,NULL,1008
175,2,GI82/BEM,Gimnazjum Nr 82,1,1,2014-03-27 12:00,NULL,NULL,30,,,,,Gimnazjum Nr 82,NULL,NULL,NULL,NULL,1009
